metabolite	subsystem
4mptnl_e	Transport, extracellular
4mptnl_m	Steroid metabolism
4mptnl_m	Transport, mitochondrial
4mtolbutamide_c	Cytochrome metabolism
4mtolbutamide_c	Transport, extracellular
4mtolbutamide_e	Exchange/demand reaction
4mtolbutamide_e	Transport, extracellular
4mzym_int1_r	Cholesterol metabolism
4mzym_int1_r	Cholesterol metabolism
4mzym_int1_r	Cholesterol metabolism
4mzym_int2_r	Cholesterol metabolism
4mzym_int2_r	
4mzym_int2_r	Cholesterol metabolism
4mzym_int2_r	Cholesterol metabolism
4mzym_int2_r	Cholesterol metabolism
4nph_c	Cytochrome metabolism
4nph_c	Cytochrome metabolism
4nph_c	Transport, extracellular
4nph_e	
4nph_e	Exchange/demand reaction
4nph_e	Transport, extracellular
4nphsf_c	Transport, extracellular
4nphsf_c	Cytochrome metabolism
4nphsf_e	Transport, extracellular
4nphsf_e	Exchange/demand reaction
